hour,activity,gender
1,31.099419055075806,female
2,44.29931558359129,female
3,44.99929384635437,female
4,35.89260650974436,female
5,33.9245083830773,female
6,32.60000000000001,female
7,28.933333333333337,female
8,27.749247347822557,female
9,27.99871794871795,female
10,23.707692307692305,female
11,18.449999999999996,female
12,11.533333333333333,female
13,9.770266595559857,female
14,9.916666666666666,female
15,10.994871794871795,female
16,9.55839341405016,female
17,5.043589743589743,female
18,11.162820512820513,female
19,16.652317877611136,female
20,9.664102564102564,female
21,9.77179487179487,female
22,14.47759793419119,female
23,12.351282051282052,female
24,20.518695761540382,female
1,32.119870406912575,male
2,57.53981840052756,male
3,51.36588921640953,male
4,45.36717126769157,male
5,41.37654590396987,male
6,45.632921542755575,male
7,44.8009596957562,male
8,41.835810147457096,male
9,35.76401527566222,male
10,28.79576512102528,male
11,33.762617348483836,male
12,23.306944668029182,male
13,16.155748682049463,male
14,11.533333333333333,male
15,23.39808436629951,male
16,14.82820512820513,male
17,17.31923076923077,male
18,26.475641025641025,male
19,21.391025641025642,male
20,21.20641025641026,male
21,17.462820512820514,male
22,17.037179487179486,male
23,19.74943243802348,male
24,16.242307692307694,male
