day,activity,time
0,11.816488936318912,day
1,12.709729225825855,day
2,12.763493408052351,day
3,11.523710096736112,day
4,10.958887271667734,day
5,11.078756203663461,day
6,10.405524299075855,day
7,10.457948346147436,day
8,11.741551594323719,day
9,12.977290176759617,day
10,12.578634412712608,day
11,15.11174246336218,day
12,12.148615668366453,day
13,9.750413788568377,day
0,35.97039487458012,night
1,39.040538234596156,night
2,35.398491338576925,night
3,33.340244042381414,night
4,35.1372740750171,night
5,38.145718943021365,night
6,34.05611045974893,night
7,33.82937210558654,night
8,34.00789415443697,night
9,37.522682722630336,night
10,35.69205497815065,night
11,35.11899152681197,night
12,32.26366705615598,night
13,36.60634974221261,night
